Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Abiraterone,Prednisone,Prednisone + placebo,2nd line castration-refractory after docetaxel,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1014618?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Prednisone + placebo,NA,NA,NA,NA,Form 2a,OS,2nd line castration-refractory after docetaxel,COU-AA-301,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,Prednisone,NA,NA,4,10.9 months,3.9 months,0.65 (0.54-0.77),NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enzalutamide,-,Placebo,2nd line castration-refractory after docetaxel,Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1207506?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,2nd line castration-refractory after docetaxel,NA,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,NA,NA,NA,4,13.6 months,4.8 months,0.63 (0.53-0.75),NA,NA,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enzalutamide,-,Placebo,Castraction-refractory pre-docetaxel (early termination with crossover),Genitourinary Cancers,Prostate cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1405095?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,PFS and OS,Castraction-refractory pre-docetaxel (early termination with crossover),AFFIRM,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,NA,NA,0.19 (0.15-0.23),4,30.2 months,2.2 months,0.71 (0.60-0.84),3.9 months,>12 months,3,1+,Delayed deterioration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Docetaxel  Q3w,Prednisone,Mitoxantrone + prednisone,Castraction-refractory,Genitourinary Cancers,Prostate cancer,-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa040720?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Mitoxantrone + prednisone,NA,NA,NA,NA,Form 2a,OS,Castraction-refractory,NA,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,Prednisone,NA,NA,3,16.5 months,2.4 months,0.76 (0.62-0.94),NA,NA,2,1+,Improved,NA,NA,NA,NA,NA,NA,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabazitaxel,Prednisone,Mitoxantrone + prednisone,Castraction-refractory after docetaxel,Genitourinary Cancers,Prostate cancer,-,Metastatic,2,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(10)61389-X/fulltext,NA,NA,Mitoxantrone + prednisone,NA,NA,NA,NA,Form 2a,OS,Castraction-refractory after docetaxel,TROPIC,            Metastatic    ,NA,Prostate cancer,Genitourinary Cancers,Prednisone,NA,NA,2,12.7 months,2.4 months,0.70 (0.59-0.83),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nivolumab,-,Everolimus,2nd line RCC clear cell after TKI,Genitourinary Cancers,Renal cell cancer,-,Metastatic,5,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1510665,NA,NA,Everolimus,NA,NA,NA,NA,Form 2a,OS, 2nd line RCC clear cell after TKI,CheckMate 025,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,NA,5,19.6 months,5.4 months,0.73 (0.57-0.93),NA,NA,4,NA,NA,NA,1+,Reduced grade 3/4 adverse events 19% vs 37%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axitinib,-,Sorafenib,2nd line in advanced renal cell carcinoma,Genitourinary Cancers,Renal cell cancer,-,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)61613-9/abstract?rss=yes&code=lancet-site,NA,NA,Sorafenib,NA,NA,NA,NA,Form 2b,PFS,2nd line in advanced renal cell carcinoma,AXIS,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.67 (0.54-0.81),4,NA,NA,NA,4.7 months,2.0 months,3,NA,NA,NA,1+,Reduced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazopanib,-,Sunitinib,1st line metastatic RCC with clear cell component,Genitourinary Cancers,Renal cell cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1303989,NA,NA,Sunitinib,NA,NA,NA,NA,Form 2c,PFS non-inferiority,1st line metastatic RCC with clear cell component, COMPARZ,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,NS,4,NA,NA,NA,9.5 months,NA,4,NA,NA,NA,NA,Reduced,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunitinib,-,Interferon,1st line metastatic RCC,Genitourinary Cancers,Renal cell cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa065044?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,http://ascopubs.org/doi/abs/10.1200/JCO.2008.20.1293?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,Interferon,NA,NA,NA,NA,Form 2b,PFS crossover allowed,1st line metastatic RCC,NA,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.42 (0.32-0.54),4,21.8 months,4.6 months,0.82 (0.67-1.00) (cross-over allowed)                                                  NS,5 months,6 months,3,1+,Improved,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sorafenib,-,Placebo,2nd line locally advanced or metastatic RCC (Randomised phase II study),Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa060655?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,2nd line locally advanced or metastatic RCC (Randomised phase II study),TARGET,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.44 (0.35-0.55),3,15.9 months,3.4 months,0.77 (0.63-0.95),2.8 months,2.7 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everolimus,-,Placebo,2nd or 3rd line after TKI metastatic RCC,Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(08)61039-9/fulltext,https://onlinelibrary.wiley.com/doi/abs/10.1002/cncr.25219,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS crossover allowed,2nd or 3rd line after TKI metastatic RCC,RECORD-1,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.33 (0.25-0.43) ,3,NS (Cross-over 80%),NA,NA,1.9 months,3 months ,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pazopanib,-,Placebo,2nd line locally advanced or metastatic RCC,Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2009.23.9764?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Placebo,NA,NA,NA,NA,Form 2b,PFS crossover allowed,2nd line locally advanced or metastatic RCC,NA,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.46 (0.34-0.62),3,NA,NA,NA,4.2 months,5 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Interferon,Interferon + placebo,1st line metastatic RCC with clear cell,Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(07)61904-7/fulltext,NA,NA,Interferon + placebo,NA,NA,NA,NA,Form 2b,OS  and PFS,1st line metastatic RCC with clear cell,AVOREN,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,Interferon,NA,0.63 (0.52-0.75),3,NA,NA,NS,5.4 months,4.8 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabozantinib,-,Everolimus,2nd line clear cell RCC after progression on TKI,Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(16)30107-3/fulltext,https://www.nejm.org/doi/10.1056/NEJMoa1510016?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,Everolimus,NA,NA,NA,NA,Form 2a,PFS,2nd line clear cell RCC after progression on TKI,METEOR,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.58 (0.45-0.75),3,16.5 months,4.9 months,0.66 (0.53-0.83),3.8 months,3.6 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenvatinib,Everolimus,Everolimus (Randomised phase II study),2nd line clear cell RCC after progression on TKI,Genitourinary Cancers,Renal cell cancer,-,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00290-9/fulltext,NA,NA, Everolimus (Randomised phase II study),NA,NA,NA,NA,Form 2a,PFS - Combined,2nd line clear cell RCC after progression on TKI,NA,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,Everolimus ,NA,0.40 (0.24-0.68),4,15.4 months,10.1+ months,0.51 (0.30-0.88) ,5.5 months,9.1 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenvatinib,-,Everolimus (Randomised phase II study),2nd line clear cell RCC after progression on TKI,Genitourinary Cancers,Renal cell cancer,-,Metastatic,3,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00290-9/fulltext,NA,NA,Everolimus (Randomised phase II study),NA,NA,NA,NA,Form 2b,PFS,2nd line clear cell RCC after progression on TKI,NA,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.61 (0.38-0.98),3,15.4 months,3.7 months,0.68 (0.41-1.14) NS,5.5 months,1.9 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lenvatinib,-,Sorafenib,1st line advanced or unresectable HCC,Gastrointestinal Cancers,Hepatobiliary Cancers,Hepatocellular Carcinoma,Locally advanced,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)30207-1/fulltext,NA,NA,Sorafenib,NA,NA,NA,NA,Form 2c,"OS non-inferiority, inferiority margin: 1.08",1st line advanced or unresectable HCC,REFLECT,            Locally advanced    ,Hepatocellular Carcinoma,Hepatobiliary Cancers,Gastrointestinal Cancers,NA,NA,0.66 (0.57-0.77),4,12.3 months,1.3 months,0.92 (0.79 - 1.06),3.7 months,3.7 months,4,NA,Delayed deterioration,NA,NA,NS,NA,NA,NA,NA,NA,"QoL declined in both groups after treatment, a clinically meaningful delay in deterioration for multiple domains was observed in lenvatinib compared with sorafenib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cabozantinib,-,Placebo,2nd line Unresectable HCC after TKI,Gastrointestinal Cancers,Hepatobiliary Cancers,Hepatocellular Carcinoma,Locally advanced,3,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1717002,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,2nd line Unresectable HCC after TKI,CELESTIAL,            Locally advanced    ,Hepatocellular Carcinoma,Hepatobiliary Cancers,Gastrointestinal Cancers,NA,NA,0.44 (0.36-0.52),3,8.0 months,2.2 months,0.76 (0.63 - 0.92),1.9 months,3.3 months,3,NA,NA,NA,NA,Increased,NA,NA,NA,NA,NA,NA,14.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regorafenib,-,Placebo,2nd line Unresectable HCC after TKI,Gastrointestinal Cancers,Hepatobiliary Cancers,Hepatocellular Carcinoma,Locally advanced,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)32453-9/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,2nd line Unresectable HCC after TKI,RESORCE,            Locally advanced    ,Hepatocellular Carcinoma,Hepatobiliary Cancers,Gastrointestinal Cancers,NA,NA,0.46 (0.37-0.56),4,7.8 months,2.8 months - 2-year survival gain >10% ,0.63 (0.50 - 0.79),1.5 months,1.6 months,4,NA,NA,NA,NA,Increased,NA,NA,NA,NA,NA,NA,14.01.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tivozanib,-,Sorafenib,"Recurrent or metastatic RCC with clear cell component, and prior nephrectomy",Genitourinary Cancers,Renal cell cancer,-,Metastatic,1,NA,NA,http://ascopubs.org/doi/full/10.1200/JCO.2012.47.4940?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Sorafenib,NA,NA,NA,NA,Form 2b,PFS,"Recurrent or metastatic RCC with clear cell component, and prior nephrectomy",NA,            Metastatic    ,NA,Renal cell cancer,Genitourinary Cancers,NA,NA,0.80 (0.64-0.99),1,OS (Not significant),NA,NA,9.1 months,2.8 months,2,-1,No QoL benefit,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.02.19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLOT (docetaxel, oxaliplatin, fluorouracil and leucovorin)",-,Fluorouracil or capecitabine plus cisplatin and epirubicin,"Resectable gastric or gastro-oesophageal junction adenocarcinoma with clinical stage cT2 or higher, nodal positive (cN+) disease or both",Gastrointestinal Cancers,Gastric and gastro-oesophageal junction cancers,-,Early,A,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(16)30531-9/fulltext,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)32557-1/fulltext,NA,Fluorouracil or capecitabine plus cisplatin and epirubicin ,NA,NA,NA,A,Form 1,OS (Phase II/III),"Resectable gastric or gastro-oesophageal junction adenocarcinoma with clinical stage cT2 or higher, nodal positive (cN+) disease or both",FLOT4,            Early    ,NA,Gastric and gastro-oesophageal junction cancers ,Gastrointestinal Cancers,NA,NA,NA,NA,35 months (median)  OS at 3 years: 48%,15 months (median)  OS at 3 years: 9%,0.77 (0.63–0.94),NA,NA,NA,NA,QoL not available,NA,NA,AEs similar ,NA,NA,NA,NA,NA,NA,03.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gemcitabine,Capecitabine,Gemcitabine,Resected pancreatic ductal adenocarcinoma,Gastrointestinal Cancers,Pancreatic cancer,-,Early,A,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)32409-6/fulltext,NA,NA,Gemcitabine,NA,NA,NA,A,Form 1,OS,Resected pancreatic ductal adenocarcinoma,ESPAC-4,            Early    ,NA,Pancreatic cancer,Gastrointestinal Cancers,Capecitabine,NA,NA,NA,25.5 months,2.5 months >10% at five years,0.82 (0.68-0.98),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
mFOLFIRINOX,-,Gemcitabine,Resected pancreatic ductal adenocarcinoma,Gastrointestinal Cancers,Pancreatic cancer,-,Early,A,NA,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa1809775?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://www.nejm.org/doi/10.1056/NEJMoa1011923?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,Gemcitabine,NA,NA,NA,A,Form 1,OS,Resected pancreatic ductal adenocarcinoma,PRODIGE 24/CCTG PA. 6 trial,            Early    ,NA,Pancreatic cancer,Gastrointestinal Cancers,NA,NA,NA,NA,35.0 months,19.4 months 3-year survival gain 14.8%,0.64 (0.48-0.86),NA,NA,NA,NA,NA,NA,NA,Increased acute toxicity,NA,NA,NA,NA,NA,NA,14.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nanoliposomal irinotecan,5-FU/LV,5-fluorouracil and folinic acid,Pancreatic adenocarcinoma previously treated with gemcitabine-based therapy,Gastrointestinal Cancers,Pancreatic cancer,-,Metastatic,2,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(15)00986-1/fulltext,NA,NA,5-fluorouracil and folinic acid,NA,NA,NA,NA,Form 2a,OS,Pancreatic adenocarcinoma previously treated with gemcitabine-based therapy,NAPOLI-1,            Metastatic    ,NA,Pancreatic cancer,Gastrointestinal Cancers,5-FU/LV,NA,NA,2,4.2 months,1.9 months,0.67 (0.49-0.92),NA,NA,2,NA,Similar QoL ,NA,NA,More frequent grade 3-4 adverse events,NA,NA,NA,NA,NA,NA,14.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osimertinib,-,Gefitinib or erlotinib,Previously untreated EGFR mutated (exon 19 deletion or L858R),Thoracic Malignancies,Non-small-cell Lung Cancer,EGFR+ (exon 19 deletion or L858R),Advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1713137,https://www.nejm.org/doi/full/10.1056/NEJMoa1913662?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://www.ejcancer.com/article/S0959-8049(19)30814-7/fulltext,Gefitinib or erlotinib,NA,NA,NA,NA,Form 2a,PFS,Previously untreated EGFR mutated (exon 19 deletion or L858R),FLAURA,            Advanced    ,EGFR+ (exon 19 deletion or L858R),Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.46 (0.37-0.57),4,31.8 months,6.8 months,0.80 (0.64-1.00),10.2 months,8.7 months,3,NA,Similar between arms,30.04.2020,1+,Improved toxicity profile,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectinib,-,Crizotinib,Untreated ALK-positive,Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30565-2/fulltext,NA,NA,Crizotinib,NA,NA,NA,NA,Form 2b,PFS (independent review committee-assessed),Untreated ALK-positive ,J-ALEX,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.50 (0.36-0.70),4,NA,NA,NA,10.4 months,15.3 months,3,NA,NA,NA,1+,Improved toxicity profile,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alectinib,-,Chemotherapy (pemetrexed or docetaxel),Previously treated ALK-positive,Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://academic.oup.com/annonc/article/29/6/1409/4970555,NA,NA,Chemotherapy (pemetrexed or docetaxel),NA,NA,NA,NA,Form 2b,PFS (investigator assessment),Previously treated ALK-positive,ALUR,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.15 (0.08-0.29),4,NA,NA,NA,1.4 months,8.2 months,3,NA,NA,NA,1+,Improved toxicity profile,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atezolizumab,-,Docetaxel,Squamous or non-squamous stage IIIB or IV patients who had previously received one or two chemotherapy regimes,Thoracic Malignancies,Squamous or non-squamous non-small-cell lung cancer,-,Metastatic,5,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(16)32517-X/fulltext,https://www.jto.org/article/S1556-0864(18)30611-7/fulltext,NA,Docetaxel,NA,NA,NA,NA,Form 2a,OS,Squamous or non-squamous stage IIIB or IV patients who had previously received one or two chemotherapy regimes,OAK,            Metastatic    ,NA,Squamous or non-squamous non-small-cell lung cancer,Thoracic Malignancies,NA,NA,NA,5,9.6 months,4.2 months,0.73 (0.62-0.87),NA,NA,4,NA,NA,16.03.2020,1+,Improved toxicity profile,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceritinib,-,Chemotherapy (pemetrexed or docetaxel),Previously treated with chemotherapy and crizotinib ALK-positive stage IIIB or IV,Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30339-X/fulltext,NA,NA,Chemotherapy (pemetrexed or docetaxel),NA,NA,NA,NA,Form 2b,PFS,Previously treated with chemotherapy and crizotinib ALK-positive stage IIIB or IV ,ASCEND-5,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.49 (0.36-0.67),4,NA,NA,NA,1.6 months,3.8 months,3,1+,Improved overall health-related QoL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceritinib,-,Chemotherapy,1st line ALK positive,Thoracic Malignancies,Non-small-cell Lung Cancer,ALK+,Metastatic,4,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(17)30123-X/fulltext,NA,NA,Chemotherapy,NA,NA,NA,NA,Form 2b,PFS,1st line ALK positive,ASCEND-4,            Metastatic    ,ALK+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,0.55 (0.42-0.73),4,NA,NA,NA,8.1 months,8.5 months,3,1+,Delayed deterioration in overall health-related QoL,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crizotinib,-,Single arm study,Cohort study 50 patients (86% had received at least one previous line of standard therapy),Thoracic Malignancies,Non-small-cell Lung Cancer,ROS1+,Advanced,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1406766?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,ORR and mPFS (Phase I),Cohort study 50 patients (86% had received at least one previous line of standard therapy) ,NA,            Advanced    ,ROS1+,Non-small-cell Lung Cancer,Thoracic Malignancies,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.05.2019,"72% achieved in ORR (95% CI 58-84),  mPFS 19.2 months (95% CI 14.4 - not reached)",NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,Trametinib,Single arm study,Cohort study 36 patients previously untreated,Thoracic Malignancies,Non-small-cell Lung Cancer,BRAF V600E - mutant,Advanced,2,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(17)30679-4/fulltext,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,ORR and mPFS (Phase II),Cohort study 36 patients previously untreated,NA,            Advanced    ,BRAF V600E - mutant,Non-small-cell Lung Cancer,Thoracic Malignancies,Trametinib,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1-,Serious adverse events: 57%,NA,NA,NA,NA,NA,NA,16.05.2019,"64% achieved in ORR (95% CI 46-79),  mPFS 10.9 months (95% CI 7.0 - 16.6)",NA,NA,NA,NA,NA,NA,NA,NA
Dabrafenib,Trametinib,Single arm study,Cohort study 57 patients previously treated,Thoracic Malignancies,Non-small-cell Lung Cancer,BRAF V600E - mutant,Metastatic,2,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4993103/,NA,NA,Single arm study,NA,NA,NA,NA,Form 3,ORR and mPFS (Phase II),Cohort study 57 patients previously treated,NA,            Metastatic    ,BRAF V600E - mutant,Non-small-cell Lung Cancer,Thoracic Malignancies,Trametinib,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,1-,Serious adverse events: 56%,NA,NA,NA,NA,NA,NA,16.05.2019,"63.2% achieved in ORR (95% CI 49.3 - 75.6),  mPFS 9.7 months (95% CI 6.9 - 19.6)",NA,NA,NA,NA,NA,NA,NA,NA
Pembrolizumab,Chemotherapy (Pemetrexed),Chemotherapy,Previously untreated without EGFR or ALK mutations,Thoracic Malignancies,Non-small-cell Lung Cancer,-,Advanced,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1801005,https://www.thelancet.com/pdfs/journals/lanonc/PIIS1470-2045(19)30801-0.pdf,NA,Chemotherapy,NA,NA,NA,NA,Form 2a,PFS and OS (Crossover allowed),Previously untreated without EGFR or ALK mutations,KEYNOTE-189,            Advanced    ,NA,Non-small-cell Lung Cancer,Thoracic Malignancies,Chemotherapy (Pemetrexed),NA,0.52 (0.43-0.64),4,11.3 months,Above the cut-off of 3 months,0.49 (0.38-0.64),4.9 months,3.9 months,4,NA,Delayed deterioration (exploratory outcome not eligible for upgrade),30.04.2020,NA,Similar toxicity; discontinuation of treatment due to toxicity of pembrolizumab combination (13.3% vs 6.4%),NA,NA,NA,NA,NA,NA,17.05.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA
